53621, 7824
53620, 7823
53617, 7822
53616, 7821
53615, 7820
53614, 7819
53613, 7812
53610, 12803
53609, 11636
53608, 7795
53607, 7740
53606, 7726
53604, 9291
53603, 7723
53602, 11442
53601, 7722
53597, 13250
53588, 7716
53585, 12757
53584, 7691
53583, 7690
53582, 7679
53580, 7678
53576, 7663
53575, 8597
53573, 7600
53572, 7599
53569, 7596
53568, 7595
53567, 7574
53565, 7573
53562, 7571
53559, 7569
53556, 7556
53555, 11649
53553, 7555
53552, 7549
53549, 7545
53548, 7543
53547, 11331
53546, 7542
53544, 12512
53535, 7823
53534, 10595
53533, 7541
53531, 8715
53530, 7540
53529, 8227
53527, 7536
53524, 9736
53521, 7535
53519, 13306
53518, 7610
53516, 8931
53515, 7534
53511, 12942
53510, 7533
53507, 7527
53506, 7526
53503, 7525
53502, 7524
53500, 7516
53498, 7501
53496, 7489
53495, 11791
53493, 12841
53489, 7424
53488, 7423
53487, 9381
53486, 7386
53482, 8959
53479, 7385
53475, 7384
53473, 7383
53472, 7370
53471, 10231
53470, 7369
53468, 9503
53463, 9631
53461, 7362
53460, 12359
53457, 7355
53454, 7571
53453, 7331
53449, 13542
53448, 7328
53447, 7327
53445, 7326
53444, 7325
53442, 7324
53441, 7320
53438, 7316
53437, 7311
53436, 7310
53435, 7309
53433, 7308
53432, 7287
53429, 7286
53428, 9832
53420, 7285
53419, 7284
53418, 10849
53417, 7283
53416, 7263
53415, 9381
53414, 7242
53410, 7227
53409, 10464
53405, 11304
53400, 7819
53398, 7324
53394, 7221
53391, 8906
53388, 7218
53385, 11769
53383, 12757
53382, 7217
53380, 12797
53379, 7216
53378, 7635
53374, 8516
53373, 7678
53371, 7215
53369, 7209
53368, 13117
53367, 12116
53366, 7159
53365, 7158
53363, 7154
53362, 7153
53360, 7152
53359, 7151
53354, 12167
53352, 7150
53349, 7149
53348, 7795
53347, 7305
53346, 7147
53345, 9521
53344, 7129
53342, 7119
53338, 7115
53336, 7097
53334, 7756
53333, 11372
53332, 11888
53326, 7096
53324, 12139
53322, 7032
53321, 11205
53320, 7030
53319, 7029
53318, 7596
53315, 7026
53312, 12757
53310, 7025
53309, 7023
53308, 7436
53306, 6956
53304, 10252
53301, 10441
53300, 6945
53299, 7824
53298, 6896
53296, 6895
53295, 12959
53294, 6885
53293, 6857
53292, 10740
53291, 6853
53290, 11843
53289, 6852
53288, 7823
53287, 9699
53285, 6846
53283, 6836
53282, 6830
53277, 6829
53276, 7540
53275, 6825
53274, 9829
53272, 12379
53271, 12636
53270, 7597
53269, 6822
53268, 7465
53265, 7147
53262, 6816
53259, 12688
53258, 8732
53257, 11339
53254, 6815
53253, 6806
53252, 6805
53251, 12757
53249, 10650
53248, 9381
53246, 7585
53245, 8592
53244, 6799
